Tên nhà cung cấp (*),Số điện thoại (*),Mã số thuế,Email,Địa chỉ,Số dư nợ đầu kỳ (VNĐ),Ghi chú
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 00023,0820000023,0100000023,ncc00023@toànthắng.vn,"Số 33 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 00024,0820000024,0100000024,ncc00024@phúclộc.vn,"Số 34 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty TNHH Phân phối Minh Châu - CN 00025,0820000025,0100000025,ncc00025@minhchâu.vn,"Số 35 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty Cổ phần Thương mại Đại Nam - CN 00026,0820000026,0100000026,ncc00026@đạinam.vn,"Số 36 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Tổng Kho Đại lý Hải Đăng - CN 00027,0820000027,0100000027,ncc00027@hảiđăng.vn,"Số 37 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Nhà phân phối Hàng tiêu dùng Á Châu - CN 00028,0820000028,0100000028,ncc00028@áchâu.vn,"Số 38 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Doanh nghiệp Tư nhân Hoàng Kim - CN 00029,0820000029,0100000029,ncc00029@hoàngkim.vn,"Số 39 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty TNHH Thực phẩm Thành Đạt - CN 00030,0820000030,0100000030,ncc00030@thànhđạt.vn,"Số 40 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 00031,0820000031,0100000031,ncc00031@thiênphú.vn,"Số 41 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 00032,0820000032,0100000032,ncc00032@tháibìnhdương.vn,"Số 42 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty TNHH Phân phối Nam Việt - CN 00033,0820000033,0100000033,ncc00033@namviệt.vn,"Số 43 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty Cổ phần Thương mại Đông Dương - CN 00034,0820000034,0100000034,ncc00034@đôngdương.vn,"Số 44 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Tổng Kho Đại lý Gia Phát - CN 00035,0820000035,0100000035,ncc00035@giaphát.vn,"Số 45 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 00036,0820000036,0100000036,ncc00036@tântiến.vn,"Số 46 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Doanh nghiệp Tư nhân Đức Trí - CN 00037,0820000037,0100000037,ncc00037@đứctrí.vn,"Số 47 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty TNHH Thực phẩm An Bình - CN 00038,0820000038,0100000038,ncc00038@anbình.vn,"Số 48 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 00039,0820000039,0100000039,ncc00039@khangthịnh.vn,"Số 49 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 00040,0820000040,0100000040,ncc00040@thịnhvượng.vn,"Số 50 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty TNHH Phân phối Việt Phát - CN 00041,0820000041,0100000041,ncc00041@việtphát.vn,"Số 51 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty Cổ phần Thương mại Hưng Thịnh - CN 00042,0820000042,0100000042,ncc00042@hưngthịnh.vn,"Số 52 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Tổng Kho Đại lý Toàn Thắng - CN 00043,0820000043,0100000043,ncc00043@toànthắng.vn,"Số 53 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 00044,0820000044,0100000044,ncc00044@phúclộc.vn,"Số 54 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Doanh nghiệp Tư nhân Minh Châu - CN 00045,0820000045,0100000045,ncc00045@minhchâu.vn,"Số 55 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty TNHH Thực phẩm Đại Nam - CN 00046,0820000046,0100000046,ncc00046@đạinam.vn,"Số 56 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 00047,0820000047,0100000047,ncc00047@hảiđăng.vn,"Số 57 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Đại lý Phân phối Cấp 1 Á Châu - CN 00048,0820000048,0100000048,ncc00048@áchâu.vn,"Số 58 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty TNHH Phân phối Hoàng Kim - CN 00049,0820000049,0100000049,ncc00049@hoàngkim.vn,"Số 59 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty Cổ phần Thương mại Thành Đạt - CN 00050,0820000050,0100000050,ncc00050@thànhđạt.vn,"Số 60 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Tổng Kho Đại lý Thiên Phú - CN 00051,0820000051,0100000051,ncc00051@thiênphú.vn,"Số 61 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 00052,0820000052,0100000052,ncc00052@tháibìnhdương.vn,"Số 62 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Doanh nghiệp Tư nhân Nam Việt - CN 00053,0820000053,0100000053,ncc00053@namviệt.vn,"Số 63 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty TNHH Thực phẩm Đông Dương - CN 00054,0820000054,0100000054,ncc00054@đôngdương.vn,"Số 64 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 00055,0820000055,0100000055,ncc00055@giaphát.vn,"Số 65 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Đại lý Phân phối Cấp 1 Tân Tiến - CN 00056,0820000056,0100000056,ncc00056@tântiến.vn,"Số 66 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty TNHH Phân phối Đức Trí - CN 00057,0820000057,0100000057,ncc00057@đứctrí.vn,"Số 67 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty Cổ phần Thương mại An Bình - CN 00058,0820000058,0100000058,ncc00058@anbình.vn,"Số 68 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Tổng Kho Đại lý Khang Thịnh - CN 00059,0820000059,0100000059,ncc00059@khangthịnh.vn,"Số 69 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 00060,0820000060,0100000060,ncc00060@thịnhvượng.vn,"Số 70 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Doanh nghiệp Tư nhân Việt Phát - CN 00061,0820000061,0100000061,ncc00061@việtphát.vn,"Số 71 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty TNHH Thực phẩm Hưng Thịnh - CN 00062,0820000062,0100000062,ncc00062@hưngthịnh.vn,"Số 72 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 00063,0820000063,0100000063,ncc00063@toànthắng.vn,"Số 73 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 00064,0820000064,0100000064,ncc00064@phúclộc.vn,"Số 74 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty TNHH Phân phối Minh Châu - CN 00065,0820000065,0100000065,ncc00065@minhchâu.vn,"Số 75 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty Cổ phần Thương mại Đại Nam - CN 00066,0820000066,0100000066,ncc00066@đạinam.vn,"Số 76 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Tổng Kho Đại lý Hải Đăng - CN 00067,0820000067,0100000067,ncc00067@hảiđăng.vn,"Số 77 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Nhà phân phối Hàng tiêu dùng Á Châu - CN 00068,0820000068,0100000068,ncc00068@áchâu.vn,"Số 78 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Doanh nghiệp Tư nhân Hoàng Kim - CN 00069,0820000069,0100000069,ncc00069@hoàngkim.vn,"Số 79 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty TNHH Thực phẩm Thành Đạt - CN 00070,0820000070,0100000070,ncc00070@thànhđạt.vn,"Số 80 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 00071,0820000071,0100000071,ncc00071@thiênphú.vn,"Số 81 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 00072,0820000072,0100000072,ncc00072@tháibìnhdương.vn,"Số 82 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty TNHH Phân phối Nam Việt - CN 00073,0820000073,0100000073,ncc00073@namviệt.vn,"Số 83 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty Cổ phần Thương mại Đông Dương - CN 00074,0820000074,0100000074,ncc00074@đôngdương.vn,"Số 84 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Tổng Kho Đại lý Gia Phát - CN 00075,0820000075,0100000075,ncc00075@giaphát.vn,"Số 85 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 00076,0820000076,0100000076,ncc00076@tântiến.vn,"Số 86 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Doanh nghiệp Tư nhân Đức Trí - CN 00077,0820000077,0100000077,ncc00077@đứctrí.vn,"Số 87 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty TNHH Thực phẩm An Bình - CN 00078,0820000078,0100000078,ncc00078@anbình.vn,"Số 88 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 00079,0820000079,0100000079,ncc00079@khangthịnh.vn,"Số 89 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 00080,0820000080,0100000080,ncc00080@thịnhvượng.vn,"Số 90 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty TNHH Phân phối Việt Phát - CN 00081,0820000081,0100000081,ncc00081@việtphát.vn,"Số 91 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty Cổ phần Thương mại Hưng Thịnh - CN 00082,0820000082,0100000082,ncc00082@hưngthịnh.vn,"Số 92 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Tổng Kho Đại lý Toàn Thắng - CN 00083,0820000083,0100000083,ncc00083@toànthắng.vn,"Số 93 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 00084,0820000084,0100000084,ncc00084@phúclộc.vn,"Số 94 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Doanh nghiệp Tư nhân Minh Châu - CN 00085,0820000085,0100000085,ncc00085@minhchâu.vn,"Số 95 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty TNHH Thực phẩm Đại Nam - CN 00086,0820000086,0100000086,ncc00086@đạinam.vn,"Số 96 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 00087,0820000087,0100000087,ncc00087@hảiđăng.vn,"Số 97 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Đại lý Phân phối Cấp 1 Á Châu - CN 00088,0820000088,0100000088,ncc00088@áchâu.vn,"Số 98 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty TNHH Phân phối Hoàng Kim - CN 00089,0820000089,0100000089,ncc00089@hoàngkim.vn,"Số 99 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty Cổ phần Thương mại Thành Đạt - CN 00090,0820000090,0100000090,ncc00090@thànhđạt.vn,"Số 100 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Tổng Kho Đại lý Thiên Phú - CN 00091,0820000091,0100000091,ncc00091@thiênphú.vn,"Số 101 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 00092,0820000092,0100000092,ncc00092@tháibìnhdương.vn,"Số 102 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Doanh nghiệp Tư nhân Nam Việt - CN 00093,0820000093,0100000093,ncc00093@namviệt.vn,"Số 103 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty TNHH Thực phẩm Đông Dương - CN 00094,0820000094,0100000094,ncc00094@đôngdương.vn,"Số 104 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 00095,0820000095,0100000095,ncc00095@giaphát.vn,"Số 105 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Đại lý Phân phối Cấp 1 Tân Tiến - CN 00096,0820000096,0100000096,ncc00096@tântiến.vn,"Số 106 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty TNHH Phân phối Đức Trí - CN 00097,0820000097,0100000097,ncc00097@đứctrí.vn,"Số 107 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty Cổ phần Thương mại An Bình - CN 00098,0820000098,0100000098,ncc00098@anbình.vn,"Số 108 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Tổng Kho Đại lý Khang Thịnh - CN 00099,0820000099,0100000099,ncc00099@khangthịnh.vn,"Số 109 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 00100,0820000100,0100000100,ncc00100@thịnhvượng.vn,"Số 110 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Doanh nghiệp Tư nhân Việt Phát - CN 00101,0820000101,0100000101,ncc00101@việtphát.vn,"Số 111 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty TNHH Thực phẩm Hưng Thịnh - CN 00102,0820000102,0100000102,ncc00102@hưngthịnh.vn,"Số 112 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 00103,0820000103,0100000103,ncc00103@toànthắng.vn,"Số 113 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 00104,0820000104,0100000104,ncc00104@phúclộc.vn,"Số 114 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty TNHH Phân phối Minh Châu - CN 00105,0820000105,0100000105,ncc00105@minhchâu.vn,"Số 115 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty Cổ phần Thương mại Đại Nam - CN 00106,0820000106,0100000106,ncc00106@đạinam.vn,"Số 116 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Tổng Kho Đại lý Hải Đăng - CN 00107,0820000107,0100000107,ncc00107@hảiđăng.vn,"Số 117 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Nhà phân phối Hàng tiêu dùng Á Châu - CN 00108,0820000108,0100000108,ncc00108@áchâu.vn,"Số 118 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Doanh nghiệp Tư nhân Hoàng Kim - CN 00109,0820000109,0100000109,ncc00109@hoàngkim.vn,"Số 119 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty TNHH Thực phẩm Thành Đạt - CN 00110,0820000110,0100000110,ncc00110@thànhđạt.vn,"Số 120 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 00111,0820000111,0100000111,ncc00111@thiênphú.vn,"Số 121 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 00112,0820000112,0100000112,ncc00112@tháibìnhdương.vn,"Số 122 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty TNHH Phân phối Nam Việt - CN 00113,0820000113,0100000113,ncc00113@namviệt.vn,"Số 123 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty Cổ phần Thương mại Đông Dương - CN 00114,0820000114,0100000114,ncc00114@đôngdương.vn,"Số 124 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Tổng Kho Đại lý Gia Phát - CN 00115,0820000115,0100000115,ncc00115@giaphát.vn,"Số 125 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 00116,0820000116,0100000116,ncc00116@tântiến.vn,"Số 126 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Doanh nghiệp Tư nhân Đức Trí - CN 00117,0820000117,0100000117,ncc00117@đứctrí.vn,"Số 127 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty TNHH Thực phẩm An Bình - CN 00118,0820000118,0100000118,ncc00118@anbình.vn,"Số 128 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 00119,0820000119,0100000119,ncc00119@khangthịnh.vn,"Số 129 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 00120,0820000120,0100000120,ncc00120@thịnhvượng.vn,"Số 130 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty TNHH Phân phối Việt Phát - CN 00121,0820000121,0100000121,ncc00121@việtphát.vn,"Số 131 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Thương mại Hưng Thịnh - CN 00122,0820000122,0100000122,ncc00122@hưngthịnh.vn,"Số 132 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Tổng Kho Đại lý Toàn Thắng - CN 00123,0820000123,0100000123,ncc00123@toànthắng.vn,"Số 133 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 00124,0820000124,0100000124,ncc00124@phúclộc.vn,"Số 134 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
