Mã SKU,Tên hàng hóa,Đơn vị tính,Giá bán,% Thuế suất,Tên nhóm hàng,Tồn ban đầu
SP000123,Băng dính dán thùng trong suốt 5cm x 100y (Lô 2),Cuộn,16800,8,Đồ gia dụng & Tiện ích,461
SP000124,Pin tiểu AA Panasonic vỉ 4 viên (Lô 2),Vỉ,27300,8,Đồ gia dụng & Tiện ích,468
SP000125,Khẩu trang y tế 4 lớp kháng khuẩn hộp 50 cái (Lô 2),Hộp,36750,8,Đồ gia dụng & Tiện ích,475
SP000126,Nước rửa tay Lifebuoy hương chanh chai 450ml (Lô 2),Chai,54600,8,Đồ gia dụng & Tiện ích,482
SP000127,Coca Cola Sleek 320ml (Lô 3),Lon,12100,8,Đồ uống & Giải khát,489
SP000128,Pepsi Sleek 320ml (Lô 3),Lon,11550,8,Đồ uống & Giải khát,496
SP000129,Nước cam ép Twister 450ml (Lô 3),Chai,13200,8,Đồ uống & Giải khát,53
SP000130,Trà xanh Không Độ 455ml (Lô 3),Chai,11000,8,Đồ uống & Giải khát,60
SP000131,Trà Ô Long Tea+ Plus 455ml (Lô 3),Chai,13200,8,Đồ uống & Giải khát,67
SP000132,Nước tăng lực Red Bull 250ml (Lô 3),Lon,15400,8,Đồ uống & Giải khát,74
SP000133,Nước khoáng Lavie 500ml (Lô 3),Chai,6600,8,Đồ uống & Giải khát,81
SP000134,Nước tinh khiết Aquafina 500ml (Lô 3),Chai,6600,8,Đồ uống & Giải khát,88
SP000135,Cà phê sữa đá Highlands 235ml (Lô 3),Lon,17600,8,Đồ uống & Giải khát,95
SP000136,Bia Heineken Sleek 330ml (Lô 3),Lon,24200,10,Đồ uống & Giải khát,102
SP000137,Bia Tiger Crystal 330ml (Lô 3),Lon,21450,10,Đồ uống & Giải khát,109
SP000138,Bia Sài Gòn Special 330ml (Lô 3),Lon,18150,10,Đồ uống & Giải khát,116
SP000139,Sữa tươi tiệt trùng Vinamilk 180ml (Lô 3),Hộp,9350,0,Đồ uống & Giải khát,123
SP000140,Sữa chua uống Susu 110ml (Lô 3),Chai,7150,0,Đồ uống & Giải khát,130
SP000141,Nước ép bưởi hồng Vfresh 1L (Lô 3),Hộp,42900,8,Đồ uống & Giải khát,137
SP000142,Bánh ChocoPie Orion hộp 12 cái (Lô 3),Hộp,63800,8,Bánh kẹo & Ăn vặt,144
SP000143,Bánh Cosy mè giòn rụm Kinh Đô 288g (Lô 3),Gói,31900,8,Bánh kẹo & Ăn vặt,151
SP000144,Snack khoai tây Ostar vị tảo biển 90g (Lô 3),Gói,20900,8,Bánh kẹo & Ăn vặt,158
SP000145,Snack khoai tây Lay's tự nhiên 95g (Lô 3),Gói,23100,8,Bánh kẹo & Ăn vặt,165
SP000146,Bánh que Pocky socola Glico 40g (Lô 3),Hộp,15400,8,Bánh kẹo & Ăn vặt,172
SP000147,Kẹo dẻo Chupa Chups Sour Tubes 160g (Lô 3),Gói,26400,8,Bánh kẹo & Ăn vặt,179
SP000148,Bánh mì tươi nhân bơ sữa Kinh Đô 80g (Lô 3),Cái,9900,8,Bánh kẹo & Ăn vặt,186
SP000149,Bánh xốp Nabati phô mai 130g (Lô 3),Hộp,13200,8,Bánh kẹo & Ăn vặt,193
SP000150,Hạt điều rang muối vỏ lụa Bình Phước 500g (Lô 3),Hộp,148500,8,Bánh kẹo & Ăn vặt,200
SP000151,Hạt hướng dương Chacheer 130g (Lô 3),Gói,16500,8,Bánh kẹo & Ăn vặt,207
SP000152,Rong biển sấy vị truyền thống TaoKaeNoi 32g (Lô 3),Gói,28600,8,Bánh kẹo & Ăn vặt,214
SP000153,Nước mắm Nam Ngư Đệ Nhị chai 900ml (Lô 3),Chai,30800,8,Gia vị & Đồ nấu nướng,221
SP000154,Nước mắm Chinsu Cá Hồi chai 500ml (Lô 3),Chai,51700,8,Gia vị & Đồ nấu nướng,228
SP000155,Dầu ăn Simply đậu nành can 1L (Lô 3),Chai,64900,8,Gia vị & Đồ nấu nướng,235
SP000156,Dầu ăn Neptune Gold can 2L (Lô 3),Chai,148500,8,Gia vị & Đồ nấu nướng,242
SP000157,Hạt nêm Knorr thịt thăn xương ống 400g (Lô 3),Gói,40700,8,Gia vị & Đồ nấu nướng,249
SP000158,Bột ngọt Ajinomoto gói 454g (Lô 3),Gói,37400,8,Gia vị & Đồ nấu nướng,256
SP000159,Tương ớt Chinsu nắp bật 250g (Lô 3),Chai,16500,8,Gia vị & Đồ nấu nướng,263
SP000160,Tương cà Cholimex chai 330g (Lô 3),Chai,17600,8,Gia vị & Đồ nấu nướng,270
SP000161,Muối I-ốt Bạc Liêu túi 500g (Lô 3),Gói,6600,8,Gia vị & Đồ nấu nướng,277
SP000162,Đường tinh luyện Biên Hòa Daily 1kg (Lô 3),Gói,34100,8,Gia vị & Đồ nấu nướng,284
SP000163,Mì tôm Hảo Hảo tôm chua cay 75g (Lô 3),Gói,4950,8,Mì gói & Thực phẩm khô,291
SP000164,Mì Omachi sườn hầm ngũ quả 80g (Lô 3),Gói,9350,8,Mì gói & Thực phẩm khô,298
SP000165,Mì trộn Indomie Mi Goreng 85g (Lô 3),Gói,7150,8,Mì gói & Thực phẩm khô,305
SP000166,Phở gà Đệ Nhất Acecook 68g (Lô 3),Gói,8800,8,Mì gói & Thực phẩm khô,312
SP000167,Miến Phú Hương yến tiệc 210g (Lô 3),Gói,24200,8,Mì gói & Thực phẩm khô,319
SP000168,Cháo thịt bằm Cung Đình gói 50g (Lô 3),Gói,7700,8,Mì gói & Thực phẩm khô,326
SP000169,Cá nục sốt cà 3 Cô Gái lon 155g (Lô 3),Lon,20900,8,Mì gói & Thực phẩm khô,333
SP000170,Pate thịt heo Hạ Long lon 150g (Lô 3),Lon,29700,8,Mì gói & Thực phẩm khô,340
SP000171,Mì ly Modern lẩu thái tôm 65g (Lô 3),Ly,10450,8,Mì gói & Thực phẩm khô,347
SP000172,Nước rửa chén Sunlight chanh can 3.6kg (Lô 3),Can,119900,10,Hóa mỹ phẩm & Tẩy rửa,354
SP000173,Nước giặt OMO Matic cửa trên túi 3.6kg (Lô 3),Túi,192500,10,Hóa mỹ phẩm & Tẩy rửa,361
SP000174,Nước xả vải Comfort đậm đặc túi 3.2L (Lô 3),Túi,207900,10,Hóa mỹ phẩm & Tẩy rửa,368
SP000175,Dầu gội Clear thảo dược mát lạnh 630g (Lô 3),Chai,181500,10,Hóa mỹ phẩm & Tẩy rửa,375
SP000176,Dầu gội Pantene suôn mượt 650ml (Lô 3),Chai,170500,10,Hóa mỹ phẩm & Tẩy rửa,382
SP000177,Sữa tắm Lifebuoy bảo vệ vượt trội 800g (Lô 3),Chai,163900,10,Hóa mỹ phẩm & Tẩy rửa,389
SP000178,Kem đánh răng Colgate Total 12 180g (Lô 3),Tuýp,46200,10,Hóa mỹ phẩm & Tẩy rửa,396
SP000179,Bàn chải đánh răng P/S than tre (Lô 3),Cái,19800,10,Hóa mỹ phẩm & Tẩy rửa,403
SP000180,Nước lau sàn Sunlight hoa lily túi 3.6kg (Lô 3),Túi,93500,10,Hóa mỹ phẩm & Tẩy rửa,410
SP000181,Xịt muỗi Raid hương cam chanh 600ml (Lô 3),Chai,74800,10,Hóa mỹ phẩm & Tẩy rửa,417
SP000182,Giấy vệ sinh cuộn cao cấp Pulppy lốc 10 cuộn (Lô 3),Lốc,101200,8,Đồ gia dụng & Tiện ích,424
SP000183,Khăn giấy lụa rút Paseo 200 tờ (Lô 3),Hộp,27500,8,Đồ gia dụng & Tiện ích,431
SP000184,Màng bọc thực phẩm PE Sunhouse 30cmx150m (Lô 3),Hộp,82500,8,Đồ gia dụng & Tiện ích,438
SP000185,Túi rác đen tự hủy sinh học Opec 3 cuộn (Lô 3),Gói,41800,8,Đồ gia dụng & Tiện ích,445
SP000186,Băng dính dán thùng trong suốt 5cm x 100y (Lô 3),Cuộn,17600,8,Đồ gia dụng & Tiện ích,452
SP000187,Pin tiểu AA Panasonic vỉ 4 viên (Lô 3),Vỉ,28600,8,Đồ gia dụng & Tiện ích,459
SP000188,Khẩu trang y tế 4 lớp kháng khuẩn hộp 50 cái (Lô 3),Hộp,38500,8,Đồ gia dụng & Tiện ích,466
SP000189,Nước rửa tay Lifebuoy hương chanh chai 450ml (Lô 3),Chai,57200,8,Đồ gia dụng & Tiện ích,473
SP000190,Coca Cola Sleek 320ml (Lô 4),Lon,12649,8,Đồ uống & Giải khát,480
SP000191,Pepsi Sleek 320ml (Lô 4),Lon,12074,8,Đồ uống & Giải khát,487
SP000192,Nước cam ép Twister 450ml (Lô 4),Chai,13799,8,Đồ uống & Giải khát,494
SP000193,Trà xanh Không Độ 455ml (Lô 4),Chai,11500,8,Đồ uống & Giải khát,51
SP000194,Trà Ô Long Tea+ Plus 455ml (Lô 4),Chai,13799,8,Đồ uống & Giải khát,58
SP000195,Nước tăng lực Red Bull 250ml (Lô 4),Lon,16099,8,Đồ uống & Giải khát,65
SP000196,Nước khoáng Lavie 500ml (Lô 4),Chai,6899,8,Đồ uống & Giải khát,72
SP000197,Nước tinh khiết Aquafina 500ml (Lô 4),Chai,6899,8,Đồ uống & Giải khát,79
SP000198,Cà phê sữa đá Highlands 235ml (Lô 4),Lon,18400,8,Đồ uống & Giải khát,86
SP000199,Bia Heineken Sleek 330ml (Lô 4),Lon,25299,10,Đồ uống & Giải khát,93
SP000200,Bia Tiger Crystal 330ml (Lô 4),Lon,22425,10,Đồ uống & Giải khát,100
SP000201,Bia Sài Gòn Special 330ml (Lô 4),Lon,18975,10,Đồ uống & Giải khát,107
SP000202,Sữa tươi tiệt trùng Vinamilk 180ml (Lô 4),Hộp,9775,0,Đồ uống & Giải khát,114
SP000203,Sữa chua uống Susu 110ml (Lô 4),Chai,7474,0,Đồ uống & Giải khát,121
SP000204,Nước ép bưởi hồng Vfresh 1L (Lô 4),Hộp,44850,8,Đồ uống & Giải khát,128
SP000205,Bánh ChocoPie Orion hộp 12 cái (Lô 4),Hộp,66700,8,Bánh kẹo & Ăn vặt,135
SP000206,Bánh Cosy mè giòn rụm Kinh Đô 288g (Lô 4),Gói,33350,8,Bánh kẹo & Ăn vặt,142
SP000207,Snack khoai tây Ostar vị tảo biển 90g (Lô 4),Gói,21850,8,Bánh kẹo & Ăn vặt,149
SP000208,Snack khoai tây Lay's tự nhiên 95g (Lô 4),Gói,24149,8,Bánh kẹo & Ăn vặt,156
SP000209,Bánh que Pocky socola Glico 40g (Lô 4),Hộp,16099,8,Bánh kẹo & Ăn vặt,163
SP000210,Kẹo dẻo Chupa Chups Sour Tubes 160g (Lô 4),Gói,27599,8,Bánh kẹo & Ăn vặt,170
SP000211,Bánh mì tươi nhân bơ sữa Kinh Đô 80g (Lô 4),Cái,10350,8,Bánh kẹo & Ăn vặt,177
SP000212,Bánh xốp Nabati phô mai 130g (Lô 4),Hộp,13799,8,Bánh kẹo & Ăn vặt,184
SP000213,Hạt điều rang muối vỏ lụa Bình Phước 500g (Lô 4),Hộp,155250,8,Bánh kẹo & Ăn vặt,191
SP000214,Hạt hướng dương Chacheer 130g (Lô 4),Gói,17250,8,Bánh kẹo & Ăn vặt,198
SP000215,Rong biển sấy vị truyền thống TaoKaeNoi 32g (Lô 4),Gói,29899,8,Bánh kẹo & Ăn vặt,205
SP000216,Nước mắm Nam Ngư Đệ Nhị chai 900ml (Lô 4),Chai,32199,8,Gia vị & Đồ nấu nướng,212
SP000217,Nước mắm Chinsu Cá Hồi chai 500ml (Lô 4),Chai,54049,8,Gia vị & Đồ nấu nướng,219
SP000218,Dầu ăn Simply đậu nành can 1L (Lô 4),Chai,67850,8,Gia vị & Đồ nấu nướng,226
SP000219,Dầu ăn Neptune Gold can 2L (Lô 4),Chai,155250,8,Gia vị & Đồ nấu nướng,233
SP000220,Hạt nêm Knorr thịt thăn xương ống 400g (Lô 4),Gói,42550,8,Gia vị & Đồ nấu nướng,240
SP000221,Bột ngọt Ajinomoto gói 454g (Lô 4),Gói,39100,8,Gia vị & Đồ nấu nướng,247
SP000222,Tương ớt Chinsu nắp bật 250g (Lô 4),Chai,17250,8,Gia vị & Đồ nấu nướng,254
SP000223,Tương cà Cholimex chai 330g (Lô 4),Chai,18400,8,Gia vị & Đồ nấu nướng,261
SP000224,Muối I-ốt Bạc Liêu túi 500g (Lô 4),Gói,6899,8,Gia vị & Đồ nấu nướng,268
SP000225,Đường tinh luyện Biên Hòa Daily 1kg (Lô 4),Gói,35650,8,Gia vị & Đồ nấu nướng,275
SP000226,Mì tôm Hảo Hảo tôm chua cay 75g (Lô 4),Gói,5175,8,Mì gói & Thực phẩm khô,282
SP000227,Mì Omachi sườn hầm ngũ quả 80g (Lô 4),Gói,9775,8,Mì gói & Thực phẩm khô,289
SP000228,Mì trộn Indomie Mi Goreng 85g (Lô 4),Gói,7474,8,Mì gói & Thực phẩm khô,296
SP000229,Phở gà Đệ Nhất Acecook 68g (Lô 4),Gói,9200,8,Mì gói & Thực phẩm khô,303
SP000230,Miến Phú Hương yến tiệc 210g (Lô 4),Gói,25299,8,Mì gói & Thực phẩm khô,310
SP000231,Cháo thịt bằm Cung Đình gói 50g (Lô 4),Gói,8049,8,Mì gói & Thực phẩm khô,317
SP000232,Cá nục sốt cà 3 Cô Gái lon 155g (Lô 4),Lon,21850,8,Mì gói & Thực phẩm khô,324
SP000233,Pate thịt heo Hạ Long lon 150g (Lô 4),Lon,31049,8,Mì gói & Thực phẩm khô,331
SP000234,Mì ly Modern lẩu thái tôm 65g (Lô 4),Ly,10925,8,Mì gói & Thực phẩm khô,338
SP000235,Nước rửa chén Sunlight chanh can 3.6kg (Lô 4),Can,125349,10,Hóa mỹ phẩm & Tẩy rửa,345
